NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1055,429,278,"(1338347.7500653118, 406777.2503451407)","['BELONDA ST', 'MANN ST']"
1055,806,113,"(1338347.7500653118, 406777.2503451407)","['BELONDA ST', 'MANN ST']"
1056,64,143,"(1341967.2500441372, 402213.2499587238)","['ESTELLA AVE', 'ZELDA WAY']"
1056,1044,453,"(1341967.2500441372, 402213.2499587238)","['ESTELLA AVE', 'ZELDA WAY']"
1056,1077,136,"(1341967.2500441372, 402213.2499587238)","['ESTELLA AVE', 'ZELDA WAY']"
1057,32,287,"(1342191.499923721, 402047.25029072165)","['ASHDALE ST', 'BORDER']"
1057,925,88,"(1342191.499923721, 402047.25029072165)","['ASHDALE ST', 'BORDER']"
1058,1059,147,"(1345664.2498679757, 399705.25005348027)","['TRANSVERSE AVE', 'GIFFIN AVE']"
1058,1198,140,"(1345664.2498679757, 399705.25005348027)","['TRANSVERSE AVE', 'GIFFIN AVE']"
1058,1199,274,"(1345664.2498679757, 399705.25005348027)","['TRANSVERSE AVE', 'GIFFIN AVE']"
1058,1264,257,"(1345664.2498679757, 399705.25005348027)","['TRANSVERSE AVE', 'GIFFIN AVE']"
1059,1058,147,"(1345669.7498569638, 399558.5000188947)","['TRANSVERSE AVE', 'BEATTY ST']"
1059,1060,332,"(1345669.7498569638, 399558.5000188947)","['TRANSVERSE AVE', 'BEATTY ST']"
1059,1309,181,"(1345669.7498569638, 399558.5000188947)","['TRANSVERSE AVE', 'BEATTY ST']"
1060,1059,332,"(1345357.000154391, 399670.250123471)","['BEATTY ST', 'HAYS AVE']"
1060,1180,405,"(1345357.000154391, 399670.250123471)","['BEATTY ST', 'HAYS AVE']"
1060,1199,144,"(1345357.000154391, 399670.250123471)","['BEATTY ST', 'HAYS AVE']"
1060,1223,145,"(1345357.000154391, 399670.250123471)","['BEATTY ST', 'HAYS AVE']"
1061,37,413,"(1348292.7498603016, 399804.24985547364)","['MOUNTAIN AVE', 'CRESSWELL ST']"
1061,490,115,"(1348292.7498603016, 399804.24985547364)","['MOUNTAIN AVE', 'CRESSWELL ST']"
1061,1400,1178,"(1348292.7498603016, 399804.24985547364)","['MOUNTAIN AVE', 'CRESSWELL ST']"
1062,864,175,"(1344475.499948889, 399677.00010997057)","['BROWNSVILLE RD', 'MCKINLEY ST']"
1062,1063,130,"(1344475.499948889, 399677.00010997057)","['BROWNSVILLE RD', 'MCKINLEY ST']"
1062,1148,162,"(1344475.499948889, 399677.00010997057)","['BROWNSVILLE RD', 'MCKINLEY ST']"
1063,1062,130,"(1344429.5000408888, 399554.75002638996)","['BROWNSVILLE RD', 'ONYX AVE']"
1063,1260,235,"(1344429.5000408888, 399554.75002638996)","['BROWNSVILLE RD', 'ONYX AVE']"
1063,1308,167,"(1344429.5000408888, 399554.75002638996)","['BROWNSVILLE RD', 'ONYX AVE']"
1064,1065,160,"(1345073.7500647157, 401723.7499534786)","['GRAPE ST', 'BAUSMAN ST']"
1064,1121,166,"(1345073.7500647157, 401723.7499534786)","['GRAPE ST', 'BAUSMAN ST']"
1064,1122,253,"(1345073.7500647157, 401723.7499534786)","['GRAPE ST', 'BAUSMAN ST']"
1065,1064,160,"(1344995.7498926371, 401584.00023297966)","['GRAPE ST', 'HAWK WAY']"
1065,1107,165,"(1344995.7498926371, 401584.00023297966)","['GRAPE ST', 'HAWK WAY']"
1065,1297,304,"(1344995.7498926371, 401584.00023297966)","['GRAPE ST', 'HAWK WAY']"
1066,625,423,"(1341025.499959141, 406672.4998984784)","['WILLIAM ST', 'BORDER']"
1066,1070,597,"(1341025.499959141, 406672.4998984784)","['WILLIAM ST', 'BORDER']"
1067,374,112,"(1347692.1667438895, 407821.93788830936)","['S 18TH ST', 'BORDER']"
1067,400,151,"(1347692.1667438895, 407821.93788830936)","['S 18TH ST', 'BORDER']"
1068,386,140,"(1339658.7500679642, 407698.7504706383)","['VIRGINIA AVE', 'GUERDON ST']"
1068,462,202,"(1339658.7500679642, 407698.7504706383)","['VIRGINIA AVE', 'GUERDON ST']"
1068,1254,125,"(1339658.7500679642, 407698.7504706383)","['VIRGINIA AVE', 'GUERDON ST']"
1069,374,268,"(1347947.574041471, 407680.14617714286)","['MERRIMAN WAY', 'BORDER']"
1069,1386,126,"(1347947.574041471, 407680.14617714286)","['MERRIMAN WAY', 'BORDER']"
